product_id,product_name,category,brand,purchase_price,MRP,warranty_months,MRP_USD,MRP_EUR,price_bucket
2001,Samsung Galaxy A54,Mobile,Samsung,22000,33000,12,349.14000000000004,297.0,Premium (30K-60K)
2002,Apple iPhone 14,Mobile,Apple,65000,97500,12,1031.5500000000002,877.4999999999999,Luxury (60K+)
2003,OnePlus Nord 3,Mobile,OnePlus,23000,34500,24,365.01000000000005,310.5,Premium (30K-60K)
2004,Redmi Note 12 Pro,Mobile,Redmi,18000,27000,24,285.66,242.99999999999997,Mid (10K-30K)
2005,Realme Narzo 60,Mobile,Realme,10000,15000,24,158.70000000000002,135.0,Mid (10K-30K)
2006,Vivo V27 Pro,Mobile,Vivo,28000,42000,24,444.36,377.99999999999994,Premium (30K-60K)
2007,OPPO Reno 10,Mobile,OPPO,21000,31500,24,333.27000000000004,283.5,Premium (30K-60K)
2008,Motorola Edge 40,Mobile,Motorola,19000,28500,24,301.53000000000003,256.5,Mid (10K-30K)
2009,Nokia G42,Mobile,Nokia,8000,12000,24,126.96000000000001,107.99999999999999,Mid (10K-30K)
2010,iQOO Z7 5G,Mobile,iQOO,16000,24000,12,253.92000000000002,215.99999999999997,Mid (10K-30K)
2011,Dell Latitude 5540,Laptop,Dell,62000,93000,12,983.94,836.9999999999999,Luxury (60K+)
2012,HP Pavilion 15,Laptop,HP,45000,67500,12,714.1500000000001,607.5,Luxury (60K+)
2013,Lenovo IdeaPad Slim 5,Laptop,Lenovo,38000,57000,24,603.0600000000001,513.0,Premium (30K-60K)
2014,Apple MacBook Air M2,Laptop,Apple,85000,127500,24,1348.95,1147.5,Luxury (60K+)
2015,Asus VivoBook 16,Laptop,Asus,36000,54000,12,571.32,485.99999999999994,Premium (30K-60K)
2016,Acer Aspire 7,Laptop,Acer,40000,60000,24,634.8000000000001,540.0,Luxury (60K+)
2017,MSI Modern 15,Laptop,MSI,52000,78000,24,825.2400000000001,702.0,Luxury (60K+)
2018,Samsung Galaxy Book3,Laptop,Samsung,68000,102000,12,1079.16,917.9999999999999,Luxury (60K+)
2019,MI Notebook Pro 14,Laptop,MI,42000,63000,24,666.5400000000001,567.0,Luxury (60K+)
