product_id,product_name,category,brand,purchase_price,MRP,warranty_months
2001,Samsung Galaxy A54,Mobile,Samsung,22000,33000,12
2002,Apple iPhone 14,Mobile,Apple,65000,97500,12
2003,OnePlus Nord 3,Mobile,OnePlus,23000,34500,24
2004,Redmi Note 12 Pro,Mobile,Redmi,18000,27000,24
2005,Realme Narzo 60,Mobile,Realme,10000,15000,24
2006,Vivo V27 Pro,Mobile,Vivo,28000,42000,24
2007,OPPO Reno 10,Mobile,OPPO,21000,31500,24
2008,Motorola Edge 40,Mobile,Motorola,19000,28500,24
2009,Nokia G42,Mobile,Nokia,8000,12000,24
2010,iQOO Z7 5G,Mobile,iQOO,16000,24000,12
2011,Dell Latitude 5540,Laptop,Dell,62000,93000,12
2012,HP Pavilion 15,Laptop,HP,45000,67500,12
2013,Lenovo IdeaPad Slim 5,Laptop,Lenovo,38000,57000,24
2014,Apple MacBook Air M2,Laptop,Apple,85000,127500,24
2015,Asus VivoBook 16,Laptop,Asus,36000,54000,12
2016,Acer Aspire 7,Laptop,Acer,40000,60000,24
2017,MSI Modern 15,Laptop,MSI,52000,78000,24
2018,Samsung Galaxy Book3,Laptop,Samsung,68000,102000,12
2019,MI Notebook Pro 14,Laptop,MI,42000,63000,24
2020,Dell Inspiron 15,Laptop,Dell,48000,72000,24
2021,Samsung Crystal 4K 55 inch,Television,Samsung,28000,42000,24
2022,LG OLED C3 65 inch,Television,LG,75000,112500,24
2023,Sony Bravia X80L 50 inch,Television,Sony,32000,48000,24
2024,MI TV 5X 43 inch,Television,MI,18000,27000,12
2025,Vu Premium 55 inch,Television,Vu,25000,37500,12
2026,TCL P635 50 inch,Television,TCL,22000,33000,12
2027,OnePlus Y1S Pro 43 inch,Television,OnePlus,17000,25500,24
2028,Hisense A6H 55 inch,Television,Hisense,24000,36000,12
2029,Panasonic TH-43 inch,Television,Panasonic,19000,28500,12
2030,Redmi Smart TV X55,Television,Redmi,26000,39000,12
2031,JBL Flip 6,Speaker,JBL,7000,10500,24
2032,Sony SRS-XB33,Speaker,Sony,8500,12750,12
2033,Bose SoundLink Flex,Speaker,Bose,9000,13500,12
2034,Marshall Emberton II,Speaker,Marshall,9500,14250,12
2035,boAt Stone 1400,Speaker,boAt,2500,3750,12
2036,Harman Kardon Onyx Studio 8,Speaker,Harman Kardon,14000,21000,24
2037,Anker Soundcore Motion+,Speaker,Anker,7500,11250,12
2038,Zebronics Zeb-County,Speaker,Zebronics,1200,1800,12
2039,Portronics Trix 10,Speaker,Portronics,1500,2250,12
2040,iBall Musi Playback,Speaker,iBall,800,1200,12
2041,Sony WH-1000XM5,Headphone,Sony,18000,27000,24
2042,Bose QuietComfort 45,Headphone,Bose,20000,30000,24
2043,JBL Tune 770NC,Headphone,JBL,5500,8250,12
2044,Sennheiser HD 450BT,Headphone,Sennheiser,7000,10500,24
2045,Apple AirPods Pro 2,Headphone,Apple,17000,25500,12
2046,boAt Rockerz 550,Headphone,boAt,2000,3000,24
2047,OnePlus Buds Pro 2,Headphone,OnePlus,4500,6750,24
2048,Realme Buds Air 5,Headphone,Realme,1500,2250,12
2049,Jabra Evolve2 55,Headphone,Jabra,16000,24000,12
2050,Skullcandy Crusher Evo,Headphone,Skullcandy,9000,13500,12
2051,Logitech MX Keys Keyboard,Laptop Accessories,Logitech,7000,10500,12
2052,Dell USB-C Docking Station,Laptop Accessories,Dell,12000,18000,24
2053,HP USB Mouse M150,Laptop Accessories,HP,500,799,12
2054,Anker 65W GaN Charger,Laptop Accessories,Anker,3500,5250,24
2055,Belkin 11-in-1 USB-C Hub,Laptop Accessories,Belkin,4000,6000,12
2056,Lenovo 15.6 inch Laptop Bag,Laptop Accessories,Lenovo,1200,1800,24
2057,TP-Link USB WiFi Adapter,Laptop Accessories,TP-Link,800,1200,24
2058,Samsung T7 Portable SSD,Laptop Accessories,Samsung,7500,11250,24
2059,Targus Privacy Screen Filter,Laptop Accessories,Targus,2500,3750,24
2060,HyperX Cloud Mouse Pad XL,Laptop Accessories,HyperX,1000,1500,24
2061,Apple iPad 10th Gen,Tablet,Apple,32000,48000,24
2062,Samsung Galaxy Tab S9,Tablet,Samsung,55000,82500,24
2063,Lenovo Tab P12,Tablet,Lenovo,26000,39000,24
2064,Realme Pad X,Tablet,Realme,15000,22500,24
2065,Xiaomi Pad 6,Tablet,Xiaomi,22000,33000,12
2066,OnePlus Pad Go,Tablet,OnePlus,18000,27000,12
2067,Redmi Pad SE,Tablet,Redmi,12000,18000,24
2068,Nokia T21,Tablet,Nokia,14000,21000,12
2069,Lava Agni 2 Tablet,Tablet,Lava,11000,16500,12
2070,iBall Slide Elan 4G2,Tablet,iBall,8000,12000,12
2071,Samsung 253L Double Door,Refrigerator,Samsung,18000,27000,12
2072,LG 308L Frost Free,Refrigerator,LG,24000,36000,24
2073,Whirlpool 265L Triple Door,Refrigerator,Whirlpool,20000,30000,12
2074,Haier 320L Side-by-Side,Refrigerator,Haier,32000,48000,12
2075,Godrej 190L Single Door,Refrigerator,Godrej,10000,15000,12
2076,Bosch 347L Frost Free,Refrigerator,Bosch,28000,42000,24
2077,Voltas Beko 340L Double Door,Refrigerator,Voltas,25000,37500,24
2078,Panasonic 296L Double Door,Refrigerator,Panasonic,22000,33000,24
2079,Electrolux 250L Single Door,Refrigerator,Electrolux,16000,24000,12
2080,Hitachi 394L French Door,Refrigerator,Hitachi,38000,57000,24
2081,Samsung 7kg Front Load,Washing Machine,Samsung,26000,39000,12
2082,LG 8kg AI Direct Drive,Washing Machine,LG,35000,52500,24
2083,Whirlpool 6.5kg Top Load,Washing Machine,Whirlpool,14000,21000,24
2084,Bosch 8kg Serie 6 Front Load,Washing Machine,Bosch,38000,57000,12
2085,IFB 6kg Fully Automatic,Washing Machine,IFB,22000,33000,24
2086,Haier 7.5kg Top Load,Washing Machine,Haier,13000,19500,12
2087,Godrej 7kg Fully Automatic,Washing Machine,Godrej,15000,22500,12
2088,Panasonic 7kg Top Load,Washing Machine,Panasonic,14500,21750,12
2089,Voltas Beko 8kg Front Load,Washing Machine,Voltas,29000,43500,12
2090,Lloyd 8kg Fully Automatic,Washing Machine,Lloyd,23000,34500,12
2091,Sony HT-S400 2.1ch,Soundbar,Sony,9000,13500,12
2092,Samsung HW-B550 2.1ch,Soundbar,Samsung,10000,15000,12
2093,JBL Bar 500 5.1ch,Soundbar,JBL,22000,33000,24
2094,Bose Smart Soundbar 300,Soundbar,Bose,28000,42000,12
2095,Yamaha SR-B30A 2.1ch,Soundbar,Yamaha,11000,16500,24
2096,LG S80QY 3.1.3ch,Soundbar,LG,25000,37500,12
2097,boAt Aavante Bar 1500,Soundbar,boAt,3000,4500,24
2098,Zebronics Juke Bar 9800,Soundbar,Zebronics,2000,3000,12
2099,Philips TAB5305 2.1ch,Soundbar,Philips,4500,6750,24
2100,Portronics SoundDrum 1,Soundbar,Portronics,1200,1800,24
2101,Samsung 1.5 Ton 5 Star Inverter,AC,Samsung,28000,42000,24
2102,LG 1 Ton 4 Star Dual Inverter,AC,LG,22000,33000,12
2103,Voltas 1.5 Ton 3 Star Split,AC,Voltas,24000,36000,12
2104,Daikin 1.5 Ton 5 Star Inverter,AC,Daikin,32000,48000,24
2105,Blue Star 1 Ton 3 Star Window,AC,Blue Star,18000,27000,24
2106,Hitachi 1.5 Ton 5 Star Inverter,AC,Hitachi,30000,45000,24
2107,Whirlpool 1.5 Ton 3 Star Split,AC,Whirlpool,25000,37500,12
2108,Godrej 1 Ton 5 Star Inverter,AC,Godrej,27000,40500,24
2109,Panasonic 1.5 Ton 5 Star Inverter,AC,Panasonic,31000,46500,24
2110,Carrier 1.5 Ton 3 Star Split,AC,Carrier,23000,34500,24
2111,Symphony Diet 12T Personal Cooler,Cooler,Symphony,3500,5250,12
2112,Bajaj Platini PX97 Torque Cooler,Cooler,Bajaj,4000,6000,24
2113,Crompton Optimus 65 Desert Cooler,Cooler,Crompton,7000,10500,24
2114,Havells Celia 55L Desert Cooler,Cooler,Havells,6000,9000,12
2115,Orient Electric Smartcool 16L,Cooler,Orient,2500,3750,24
2116,Kenstar Double Cool Dx 50L,Cooler,Kenstar,5500,8250,12
2117,V-Guard Window W200 Window Cooler,Cooler,V-Guard,4500,6750,24
2118,Usha Maxx Air 70 Desert Cooler,Cooler,Usha,8000,12000,24
2119,Voltas Grand 72L Desert Cooler,Cooler,Voltas,7500,11250,12
2120,Blue Star PA75LMA 75L Cooler,Cooler,Blue Star,9000,13500,24
