feedback_id,customer_id,store_id,rating,comment,channel,date
0,6122,8,3,Product meets basic expectations.,Website,2024-06-16
1,6370,3,5,Five stars well deserved!,Website,2023-02-23
2,6209,3,2,"Billing took forever, staff was rude.",Email,2023-11-25
3,6409,10,3,Product meets basic expectations.,Phone-Call,2023-06-20
4,6278,9,4,Outstanding support and great deals.,WhatsApp,2024-01-23
5,6180,2,4,Will definitely come back again!,In-Store,2024-12-30
6,6317,2,5,Super fast billing and great ambience.,Email,2025-01-22
7,6271,4,3,Service was okay but could be improved.,Phone-Call,2024-09-16
8,6035,6,5,Store was clean and well organized.,WhatsApp,2023-07-08
9,6138,5,5,Good value for money.,Phone-Call,2023-10-23
10,6249,3,4,Outstanding support and great deals.,Phone-Call,2022-08-01
11,6030,7,4,Store was clean and well organized.,WhatsApp,2022-12-15
12,6267,2,4,Outstanding support and great deals.,WhatsApp,2023-09-19
13,6347,6,3,Store was clean but staff seemed busy.,App,2023-07-24
14,6464,9,4,Five stars well deserved!,WhatsApp,2022-10-01
15,6197,2,4,Super fast billing and great ambience.,WhatsApp,2025-05-14
16,6301,6,5,Best electronics store in the city!,App,2025-07-27
17,6184,1,5,Amazing product quality. Very satisfied.,Email,2022-02-08
18,6093,8,1,Return process was complicated.,In-Store,2024-11-03
19,6270,2,1,Overpriced and poor quality.,In-Store,2024-05-06
20,6143,3,2,"Product is average, expected much more.",Phone-Call,2024-02-21
21,6494,7,5,Good value for money.,In-Store,2025-08-07
22,6065,9,4,Outstanding support and great deals.,Email,2024-01-07
23,6291,5,4,Amazing product quality. Very satisfied.,WhatsApp,2025-02-10
24,6202,4,3,Product meets basic expectations.,Website,2023-03-06
25,6481,5,4,Best electronics store in the city!,App,2025-06-26
26,6135,6,4,Good value for money.,App,2024-07-22
27,6350,8,5,Good value for money.,Website,2022-02-24
28,6187,7,5,Super fast billing and great ambience.,Website,2022-06-27
29,6173,5,5,Quick billing and smooth process.,Email,2023-09-19
30,6347,9,3,"Met some expectations, decent selection.",Phone-Call,2024-01-21
31,6285,5,3,Product meets basic expectations.,In-Store,2025-07-11
32,6029,6,5,Good value for money.,Email,2024-01-08
33,6230,4,5,Store was clean and well organized.,Email,2026-01-31
34,6228,4,2,Below average experience overall.,Phone-Call,2023-01-06
35,6136,6,4,Amazing product quality. Very satisfied.,In-Store,2023-07-23
36,6346,7,3,"Average experience, nothing special.",In-Store,2026-01-27
37,6024,8,2,"Billing took forever, staff was rude.",Website,2023-12-12
38,6147,3,3,Would recommend to friends.,Website,2025-07-18
39,6396,10,5,Good value for money.,Email,2022-07-19
40,6442,6,5,Will definitely come back again!,WhatsApp,2024-08-12
41,6297,9,4,Store was clean and well organized.,App,2022-04-20
