product_id,product_name,category,brand,purchase_price,selling_price,warranty_months
2001,Samsung Galaxy A54,Mobile,Samsung,22000,26999,12
2002,Apple iPhone 14,Mobile,Apple,65000,79900,12
2003,OnePlus Nord 3,Mobile,OnePlus,23000,27999,24
2004,Redmi Note 12 Pro,Mobile,Redmi,18000,21999,24
2005,Realme Narzo 60,Mobile,Realme,10000,12999,24
2006,Vivo V27 Pro,Mobile,Vivo,28000,33999,24
2007,OPPO Reno 10,Mobile,OPPO,21000,25999,24
2008,Motorola Edge 40,Mobile,Motorola,19000,22999,24
2009,Nokia G42,Mobile,Nokia,8000,10999,24
2010,iQOO Z7 5G,Mobile,iQOO,16000,19999,12
2011,Dell Latitude 5540,Laptop,Dell,62000,79990,12
2012,HP Pavilion 15,Laptop,HP,45000,56990,12
2013,Lenovo IdeaPad Slim 5,Laptop,Lenovo,38000,47990,24
2014,Apple MacBook Air M2,Laptop,Apple,85000,114900,24
2015,Asus VivoBook 16,Laptop,Asus,36000,44990,12
2016,Acer Aspire 7,Laptop,Acer,40000,51990,24
2017,MSI Modern 15,Laptop,MSI,52000,64990,24
2018,Samsung Galaxy Book3,Laptop,Samsung,68000,84990,12
2019,MI Notebook Pro 14,Laptop,MI,42000,52990,24
2020,Dell Inspiron 15,Laptop,Dell,48000,59990,24
2021,Samsung Crystal 4K 55 inch,Television,Samsung,28000,38990,24
2022,LG OLED C3 65 inch,Television,LG,75000,99990,24
2023,Sony Bravia X80L 50 inch,Television,Sony,32000,42990,24
2024,MI TV 5X 43 inch,Television,MI,18000,24990,12
2025,Vu Premium 55 inch,Television,Vu,25000,33990,12
2026,TCL P635 50 inch,Television,TCL,22000,29990,12
2027,OnePlus Y1S Pro 43 inch,Television,OnePlus,17000,22990,24
2028,Hisense A6H 55 inch,Television,Hisense,24000,32990,12
2029,Panasonic TH-43 inch,Television,Panasonic,19000,25990,12
2030,Redmi Smart TV X55,Television,Redmi,26000,35990,12
2031,JBL Flip 6,Speaker,JBL,7000,9499,24
2032,Sony SRS-XB33,Speaker,Sony,8500,11499,12
2033,Bose SoundLink Flex,Speaker,Bose,9000,12999,12
2034,Marshall Emberton II,Speaker,Marshall,9500,13499,12
2035,boAt Stone 1400,Speaker,boAt,2500,3499,12
2036,Harman Kardon Onyx Studio 8,Speaker,Harman Kardon,14000,18999,24
2037,Anker Soundcore Motion+,Speaker,Anker,7500,10499,12
2038,Zebronics Zeb-County,Speaker,Zebronics,1200,1799,12
2039,Portronics Trix 10,Speaker,Portronics,1500,1999,12
2040,iBall Musi Playback,Speaker,iBall,800,1199,12
2041,Sony WH-1000XM5,Headphone,Sony,18000,24990,24
2042,Bose QuietComfort 45,Headphone,Bose,20000,26990,24
2043,JBL Tune 770NC,Headphone,JBL,5500,7499,12
2044,Sennheiser HD 450BT,Headphone,Sennheiser,7000,9499,24
2045,Apple AirPods Pro 2,Headphone,Apple,17000,22990,12
2046,boAt Rockerz 550,Headphone,boAt,2000,2799,24
2047,OnePlus Buds Pro 2,Headphone,OnePlus,4500,5999,24
2048,Realme Buds Air 5,Headphone,Realme,1500,1999,12
2049,Jabra Evolve2 55,Headphone,Jabra,16000,21990,12
